date,time,wind,temp_air,temp_dewpoint,precip_1hr,precip_3hr,month,datetime
11-2-2023,06:53,Calm,29,20,,,11,2023-11-02T06:53:00Z
11-2-2023,05:53,W 3,30,20,,,11,2023-11-02T05:53:00Z
11-2-2023,04:53,Calm,30,20,,,11,2023-11-02T04:53:00Z
11-2-2023,03:53,Calm,31,19,,,11,2023-11-02T03:53:00Z
11-2-2023,02:53,W 5,32,19,,,11,2023-11-02T02:53:00Z
11-2-2023,01:53,W 3,33,19,,,11,2023-11-02T01:53:00Z
11-2-2023,00:53,W 5,35,19,,,11,2023-11-02T00:53:00Z
11-1-2023,23:53,S 6,33,19,,,11,2023-11-01T23:53:00Z
11-1-2023,22:53,Calm,37,18,,,11,2023-11-01T22:53:00Z
11-1-2023,21:53,Calm,40,17,,,11,2023-11-01T21:53:00Z
11-1-2023,20:53,W 6,40,17,,,11,2023-11-01T20:53:00Z
11-1-2023,19:53,NW 6,41,17,,,11,2023-11-01T19:53:00Z
11-1-2023,18:53,NW 10,41,19,,,11,2023-11-01T18:53:00Z
11-1-2023,17:53,NW 9 G 21,44,19,,,11,2023-11-01T17:53:00Z
11-1-2023,16:53,NW 8 G 21,48,18,,,11,2023-11-01T16:53:00Z
11-1-2023,15:53,NW 14 G 22,50,18,,,11,2023-11-01T15:53:00Z
11-1-2023,14:53,N 12 G 21,50,18,,,11,2023-11-01T14:53:00Z
11-1-2023,13:53,N 10 G 22,50,18,,,11,2023-11-01T13:53:00Z
11-1-2023,12:53,NW 12 G 20,49,17,,,11,2023-11-01T12:53:00Z
11-1-2023,11:53,Vrbl 6,47,17,,,11,2023-11-01T11:53:00Z
11-1-2023,10:53,N 16 G 26,43,16,,,11,2023-11-01T10:53:00Z
11-1-2023,09:53,NW 12 G 22,41,15,,,11,2023-11-01T09:53:00Z
11-1-2023,08:53,W 14 G 23,39,13,,,11,2023-11-01T08:53:00Z
11-1-2023,07:53,NW 12 G 18,38,13,,,11,2023-11-01T07:53:00Z
11-1-2023,06:53,NW 8 G 21,39,18,,,11,2023-11-01T06:53:00Z
11-1-2023,05:53,NW 12 G 24,42,21,,,11,2023-11-01T05:53:00Z
11-1-2023,04:53,NW 8,43,29,,,11,2023-11-01T04:53:00Z
11-1-2023,03:53,W 3,41,35,,,11,2023-11-01T03:53:00Z
11-1-2023,02:53,W 5,40,35,,,11,2023-11-01T02:53:00Z
11-1-2023,01:53,Calm,39,34,,,11,2023-11-01T01:53:00Z
11-1-2023,00:53,Calm,43,35,,,11,2023-11-01T00:53:00Z
10-31-2023,23:53,W 3,44,36,,,10,2023-10-31T23:53:00Z
10-31-2023,22:53,Calm,44,36,,,10,2023-10-31T22:53:00Z
10-31-2023,21:53,N 3,43,34,,,10,2023-10-31T21:53:00Z
10-31-2023,20:53,Calm,42,33,,,10,2023-10-31T20:53:00Z
10-31-2023,19:53,Calm,45,33,,,10,2023-10-31T19:53:00Z
10-31-2023,18:53,Calm,49,33,,,10,2023-10-31T18:53:00Z
10-31-2023,17:53,Calm,51,33,,,10,2023-10-31T17:53:00Z
10-31-2023,16:53,Calm,51,32,,,10,2023-10-31T16:53:00Z
10-31-2023,15:53,SW 3,51,32,,,10,2023-10-31T15:53:00Z
10-31-2023,14:53,NW 5,51,32,,,10,2023-10-31T14:53:00Z
10-31-2023,13:53,Calm,51,32,,,10,2023-10-31T13:53:00Z
10-31-2023,12:53,Calm,51,32,,,10,2023-10-31T12:53:00Z
10-31-2023,11:53,Calm,50,32,,,10,2023-10-31T11:53:00Z
10-31-2023,10:53,NE 7,49,32,,,10,2023-10-31T10:53:00Z
10-31-2023,09:53,NE 9,49,32,,,10,2023-10-31T09:53:00Z
10-31-2023,08:53,NE 10,48,32,,,10,2023-10-31T08:53:00Z
10-31-2023,07:53,NE 6,47,33,,,10,2023-10-31T07:53:00Z
10-31-2023,06:53,NE 8,48,37,,,10,2023-10-31T06:53:00Z
10-31-2023,05:53,NE 6,48,41,,,10,2023-10-31T05:53:00Z
10-31-2023,04:53,NE 6,49,42,0.01,0.01,10,2023-10-31T04:53:00Z
10-31-2023,03:53,N 3,51,39,,,10,2023-10-31T03:53:00Z
10-31-2023,02:53,N 5,53,37,,,10,2023-10-31T02:53:00Z
10-31-2023,01:53,Vrbl 5,53,37,,,10,2023-10-31T01:53:00Z
10-31-2023,00:53,N 6,54,37,,,10,2023-10-31T00:53:00Z
10-30-2023,23:53,N 10 G 21,56,38,,,10,2023-10-30T23:53:00Z
10-30-2023,22:53,N 9,58,40,,,10,2023-10-30T22:53:00Z
10-30-2023,21:53,N 6,59,42,,,10,2023-10-30T21:53:00Z
10-30-2023,20:53,N 7,59,45,,,10,2023-10-30T20:53:00Z
10-30-2023,19:53,NW 9,63,46,,,10,2023-10-30T19:53:00Z
10-30-2023,18:53,NW 8,68,50,,,10,2023-10-30T18:53:00Z
10-30-2023,17:53,NW 9 G 25,71,50,,,10,2023-10-30T17:53:00Z
